,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
ياخي نحن ما اختلفنا صوتها حلو لكن البنت نفسها متخلفه نفسيه عندها انفصام ف الشخصيه ومتكبره وشايفه نفسها,P,,,,,,,,,,,,,,,,,P
يوجد لدينا تقسيط جميع الاجهزةايفون- لابتوب-كميراءوكل الاجهزهللطلب 0533394524,N,,,,,,,,,,,,,,,,,N
لا ابوكم ولا ابو فنكم حنا وش دخلنا هل الفديو وانا ليش جيت وكيف وصلت هينا 😧,N,,,,,,,,,,,,,,,,,N
ويع على احلام اسكتي تره مو حلوه صوتج وشكلج,P,,,,,,,,,,,,,,,,,P
لك شنو هاي تحجي على راغب وهية متعرف نفسمة يمعودة دولي حاسبو نفسكم قبل ان تحاسبو راغب يسواج ويسوة عشرة مثلج,P,,,,,,,,,,,,,,,,,P
هيييية مجنووونة بس ع نيااااتهاااا,P,,,,,,,,,,,,,,,,,P
ههههههههههه 😂 😂,N,,,,,,,,,,,,,,,,,N
المرأة معروفه باصوتها الهادي,N,,,,,,,,,,,,,,,,,N
هههههه,N,,,,,,,,,,,,,,,,,N
بقاء أحلام في عرب ايدل يقلل من ذوق MBC,N,,,,,,,,,,,,,,,,,N
احلام اتريد تتنطرد من الفن بس متعرف اشلون,N,,,,,,,,,,,,,,,,,N
انتي واحده مغروره شايفه نفسك علي الفاضي,P,,,,,,,,,,,,,,,,,P
فديتك أحلام,N,,,,,,,,,,,,,,,,,N
انتي عندك مشاكلة مع نفسك عدى ناس هههه.يارب يسترنا من هاد المرض.,P,,,,,,,,,,,,,,,,,P
مسكينة احلام عاوزة تكون حاجة ومو عارفة كيف هلأ صارت ماتعرف تحكي عربي ع اساس هي فرنسية,N,,,,,,,,,,,,,,,,,N
كنتاكي😂😂😂😂😂خررررب👌🏻👌🏻😂😂,N,,,,,,,,,,,,,,,,,N
هههههههه ضحكتوني الي ضايج او زعلان او مهموم يشوف احلام وعنجد ينسى كل شي مضايقه,N,,,,,,,,,,,,,,,,,N
احلام وشمس والمعوقات فنيا مثلهم عار المجتمع العربي,P,,,,,,,,,,,,,,,,,P
هذي احلام فنانة وش ؟ وش تسوي بالضبط ؟ :|,N,,,,,,,,,,,,,,,,,N
احلام غيوره كتير بتصلي اىل,N,,,,,,,,,,,,,,,,,N
احلام غيوره كتير بتصلي اىل,N,,,,,,,,,,,,,,,,,N
احلام مغرورة,P,,,,,,,,,,,,,,,,,P
اقترح ان يتحول عنوان البرنامج الى (الطكاكة شو),N,,,,,,,,,,,,,,,,,N
عندما تقف الطكاكة احلام مع راغب علامة سنتذكر مسلسل (الوحشاء والحسن) ههههههههههههههههههه,P,,,,,,,,,,,,,,,,,P
حلو,N,,,,,,,,,,,,,,,,,N
مغرورة بحالا بس ع شو عليك وع منظرك,P,,,,,,,,,,,,,,,,,P
ههههههههه كبور,N,,,,,,,,,,,,,,,,,N
اريد اعرف شنو الي فرطتي بي ياله انطوج مقام ملكه هههههههه,P,,,,,,,,,,,,,,,,,P
"يا عيب الشوم عالفن لبدا تمثلو مجنوني متخلفة متل احلام 
فعلا شي مقرف ومعيب",P,,,,,,,,,,,,,,,,,P
ألي يحب الله لايك,N,,,,,,,,,,,,,,,,,N
متناقضة بشكل فضيع ، وعندها صفاقة ما شفتها في بشر !!! كان الله في عون زوجها ...,P,,,,,,,,,,,,,,,,,P
"احلام مدرسه احلام ماده يجب ان تدرس 
هذه العملاقه هذه الاسطورة هذه الرقم الصعب في قلوب اعدائه
تخسؤن يولاد المتعه توصلون ماوصلت اليه",P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
8=====D kentaky,N,,,,,,,,,,,,,,,,,N
kentaky,N,,,,,,,,,,,,,,,,,N
ي كرهي لها والله مو غيره لا عليها ولا ع فلوسها بس كذه اكرهها من ربي والسلام عليكم ورحمه الله وبركاته #,P,,,,,,,,,,,,,,,,,P
هذه الملكه احلام وتستاهل اللقب,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
حتة حكي مبتعرف تحكي,N,,,,,,,,,,,,,,,,,N
ههه شرشوحة,P,,,,,,,,,,,,,,,,,P
مسكينه هبله,P,,,,,,,,,,,,,,,,,P
💋💋💋💋💋ان احب احلام,N,,,,,,,,,,,,,,,,,N
ههههه سينما بلاش,N,,,,,,,,,,,,,,,,,N
أحلام فنانة كبيرة ومن يتكلم عنها هم غبار على أقدامها,P,,,,,,,,,,,,,,,,,P
وش يقولونها باالعربي,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
هيا هيا نشتري دجاج.........نأكل ونربيها للاحفاد.......... لكي نتجنب هذا الفساد........ونعيش بعيدا عن الاوغاد... بق بق بق بق بقاق غاق......هيا هيا ياطفال ياولاد.......هيا نشتري دجاج........ .ماطيب طعم الدجاج .........البيض المفقوص الطازج ........سنبيعه وسنصدر للخارج.......,N,,,,,,,,,,,,,,,,,N
اللهم لا تجعلني من الذين شهدت عليهم اصابعهم،واجعلني من الذين شهدت لهم اصابعم ياارحم الراحمين,N,,,,,,,,,,,,,,,,,N
"مشكلتها اذا زعلت خبصت بالكلام...وسهل استفزازها!
وكلام متناقض وحش بالناس وكنتاكي وبرشلونه ومدريد!
الناس تحب تمصخر بعض ونتي معطيتهم جميع الفرص للمصخره بتصرفاتك هذي.",N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
الحقيقة انا مابحب احلام دي ولا عمري هحبها هي مغرورة  بطريقة اوووفر ولا بحب طريقة كلامها تحس انها موش فاهمة حاجة من ال بتقولو واديكو شفتو الفيديو السابق وانا برايي هي ما تستحق تكون عضوة حاكمة ف برنامج عرب ايدول او اي برنامج حتي ...,N,,,,,,,,,,,,,,,,,N
مقطع فيديو متعوب عليه,N,,,,,,,,,,,,,,,,,N
اقسم بالله انها اجمل مطربه خليجيه على وجه الارض  اوانا من موعجبين احلام لانها بتجنن,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
"استغفر الله 
تنااقض تام ب اقولها ههههه",N,,,,,,,,,,,,,,,,,N
وحيات الله انا مش مسدقه كيف هاي الي اسمها احلام مغنيه لا محظر ولا منظر ولا صوت كيف صار هيك بفلويها ومجوهراتها عم تعطوها اهتمام !!!! نصيحتي الك احلام اتحجبي واعبدي ربك عشان اخرتك بلا تفاهات عم اظحكي العالم عليكي وانت بتمثلي انو شخصيتك قويه بس الحقيقه مبينه انو انت انتهيتي . فا الله يهديكي الشهره الكدابه عم تسقط مش ملااحظه هالشي .,N,,,,,,,,,,,,,,,,,N
ع شنو مغروره انتي لو حلوه مثل تفاحة العراق زهور علاء شسوين,N,,,,,,,,,,,,,,,,,N
منطقية جدا في لقاءتها,N,,,,,,,,,,,,,,,,,N
اضهرتم الحقد الدفين تجاه احلام,N,,,,,,,,,,,,,,,,,N
احﻻم احترمي نافسك,N,,,,,,,,,,,,,,,,,N
تصرفاتها كأنه مجنونه صحيح صوتها حلو بس شخصيتها غريبه ومكروها حيل والهذا الهجوم صاير عليها بفلس😂,P,,,,,,,,,,,,,,,,,P
اتركوها بحالها خلص افت يا,N,,,,,,,,,,,,,,,,,N
فش طريقة نخلص من هذا الوباء,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
ياويلي من الغيره من احلام ذبحكم الحسد و الغيره منها يويو منكم الله يكفيها شر عيونكم,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
هل الفنانات ذبحتهم الغير والحسد من احلام ..,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
اهم شي اسم النمسا ...,N,,,,,,,,,,,,,,,,,N
انا تعجبني إنجليزية وعربيتها المكسره اولي ابي شوز,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
درويشه مسكينه,N,,,,,,,,,,,,,,,,,N
مادة دسمة انتم من يجعلها كماتصف القناة,N,,,,,,,,,,,,,,,,,N
احلام كواحه,N,,,,,,,,,,,,,,,,,N
اكرهج احلام 🙊,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
احسن بلا قرف,P,,,,,,,,,,,,,,,,,P
شبه المراة اللي كانت تجي بتوم وجيري,N,,,,,,,,,,,,,,,,,N
خبله هاذي,P,,,,,,,,,,,,,,,,,P
والله حرام اضيع من وقتي حته لو ثواني ع هاي الخبله,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
يقطع عمرك .,N,,,,,,,,,,,,,,,,,N
الحيا ما حد هو والله يستر,N,,,,,,,,,,,,,,,,,N
نسره,N,,,,,,,,,,,,,,,,,N
شكراً على الفديو... مضحك جدً والمحزن فيه ان زوجها يمشي وراءها و كانه عديم الارادة ... يبدو انه لاسلطه له عليها حتى  على الاقل ينصحها بالتصرف برقي أفضل والكف عن التصرف وكأنها أفضل من باقي البشر,N,,,,,,,,,,,,,,,,,N
"شكرا"" للوقت الذي امضيته في مشاهدة هذا الفيديو ولدعمك المتواصل للقناة
بما ان احلام مادة دسمة للنقد، اصدرت فيديو جديد شرف كبير لي ان تشاهده و تتشاركه مع اصدقائك
https://youtu.be/4Y7sT8-XoIA",N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
مابيه شي هيه طبيعته,N,,,,,,,,,,,,,,,,,N
كبيره و جايحه  -_-,N,,,,,,,,,,,,,,,,,N
ههههههه شو بيقولها بالعربي,N,,,,,,,,,,,,,,,,,N
انا ماادري شلون عايش الخبل الهاجري....مع هالطقاقة احلام.......ههههههههههههههههههه.....,P,,,,,,,,,,,,,,,,,P
تستاهل,N,,,,,,,,,,,,,,,,,N
"تعاني من عقده 

    العبده",N,,,,,,,,,,,,,,,,,N
"أحلام... لا يوجد فيها بلاء  ، 
مشكلتها عفويه  _ والعفويه عندكم صارت مرض؟  👊💔",N,,,,,,,,,,,,,,,,,N
اصلن شمس صوتها مو حلو بس تسوي اغراءت هي وهيفاء وهبي زي بعض شياطين واحلام انااا مااحبها ولا اكرههااا بس صوتها حلو ع الاقل,N,,,,,,,,,,,,,,,,,N
الغسل متعرف شتحجي,N,,,,,,,,,,,,,,,,,N
يا لبئ احلام واهل الامارااات,N,,,,,,,,,,,,,,,,,N
ههههه,N,,,,,,,,,,,,,,,,,N
هيه اصلن انسانه مقرفه يع,P,,,,,,,,,,,,,,,,,P
اتقو الله لاتأخذو أثام بسببها خلوها لنفسها,N,,,,,,,,,,,,,,,,,N
خدميه,N,,,,,,,,,,,,,,,,,N
هذي انسانه غريبه شايفه نفسها وهي نفسها مو واثقه بنفسها غلط تخلوها بكذا,N,,,,,,,,,,,,,,,,,N
انته مال اغاني انتي ستوته تبيعين غاز يااحلام كبرررررر,N,,,,,,,,,,,,,,,,,N
بلعكس اني احبها لان هي ممأذيه احد وكولش صريحه,N,,,,,,,,,,,,,,,,,N
اصلا بتركي كلمه النوم تختلف,N,,,,,,,,,,,,,,,,,N
الي يشوف أحلام زمان شوف أحلام مع جورج قرداحي في برنامج من سيربح المليون كانت قمة الأخلاق والذوق وش إلى سار ربما حاله نفسيه,N,,,,,,,,,,,,,,,,,N
تحط نفسها   في  مواقف محرجه,N,,,,,,,,,,,,,,,,,N
هههههههههه,N,,,,,,,,,,,,,,,,,N
هيه اماراتيه وتحجي لبناني تنكر اصله,N,,,,,,,,,,,,,,,,,N
متناقضة,N,,,,,,,,,,,,,,,,,N
انا كتييييييييير كتييييييييير بكره الملكة احلام,P,,,,,,,,,,,,,,,,,P
منو  سماها ملكه ؟؟,N,,,,,,,,,,,,,,,,,N
المجنونه ههههههههههههههههه,P,,,,,,,,,,,,,,,,,P
الحمد لله,N,,,,,,,,,,,,,,,,,N
انسانه متقلبه شخصيا,N,,,,,,,,,,,,,,,,,N
استغفرالله بس,N,,,,,,,,,,,,,,,,,N
حافظة القرأن 😱😱😂😂😂,N,,,,,,,,,,,,,,,,,N
والله محبوبه,N,,,,,,,,,,,,,,,,,N
اريد اسال سؤال بابه انتي ليش خلينج بل رنامج بصره مال كنتاكي خررب علي مله شخصيه والج ترحيل فدوه العلي او نانسي,N,,,,,,,,,,,,,,,,,N
"هههههههههههه ههههههههه بيستاهل 
جبار أبو الشربت 😂😂😂😂😛😛😛😜",N,,,,,,,,,,,,,,,,,N
وهي اللي مسويه جو في اابرنامج مع احترامي للكل.,N,,,,,,,,,,,,,,,,,N
ملكه يا احلام صريحه😁👍👍,N,,,,,,,,,,,,,,,,,N
كل هالمصاري مابتعرفي تحسني بحالك...,N,,,,,,,,,,,,,,,,,N
"الحمدلله الذي انعم الله علينا بنعمته
زينه العقل",N,,,,,,,,,,,,,,,,,N
المره هبلا,P,,,,,,,,,,,,,,,,,P
زوجها لا حول ولا قوة له الا بالله مسكين بدون إرادة قدام أبو الهول,P,,,,,,,,,,,,,,,,,P
اللي عامل الفيديو مريض نفسياً .. ونقول للمرة المليون الصراخ على قدر الألم !,P,,,,,,,,,,,,,,,,,P
زق على بشار وعلى امه,P,,,,,,,,,,,,,,,,,P
معقدة ، مسكينة ،,P,,,,,,,,,,,,,,,,,P
ًاحسن تكرها,N,,,,,,,,,,,,,,,,,N
اقول اعتزلي دامك حافظه القران الله يصلحك,N,,,,,,,,,,,,,,,,,N
مريض عقلين 😝,P,,,,,,,,,,,,,,,,,P
بتحطي نفسك بمواااااقف بايخخخه,N,,,,,,,,,,,,,,,,,N
"انا ايش استفدت من هذا الفديو قبحك الله 
ياليت تنزل فديو نستفيد منه",P,,,,,,,,,,,,,,,,,P
مالت عليك وعليها,N,,,,,,,,,,,,,,,,,N
اوقفو هذه الشنطا فشلت الخليجيين,P,,,,,,,,,,,,,,,,,P
زوجهى مرايه لها,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
تاااااااااااافها احﻻم,P,,,,,,,,,,,,,,,,,P
"احلام فنانة مرحة ولطيفة وقلبها ابيض
مااعرف ليش اتغارون منها",N,,,,,,,,,,,,,,,,,N
لاحول ولا قوة الابالله اللهم استرنا فوق الارض وتحت الارض ويوم العرض عليك,N,,,,,,,,,,,,,,,,,N
"تقول صح 
و في حلقة ثانية تقول خطأ 
مثال 👆🏻👆🏻
لمن اغني اغنية حزينة م ابتسم    ( قالت في حلقة ) 
لمن احد يغني اغنية حزينة  لابد من الابتسامة.    ( قالت في حلقة ثانية )",N,,,,,,,,,,,,,,,,,N
